Lindsey, Craft, 42, F, 1, D, headphoneswhen21@everyma1l.co.uk, 0091495655, 9734709146, 1110, Harlan, 84342
Marsha, Garcia, 72, M, 3, L, bramsey5@yah00.biz, 6479453313, 6119011169, 1225, Blackwood, 74078
Rod, McIntyre, 87, F, 2, L, mkane@somema1l.co.uk, 4187457102, 8422948640, 1159, Greengold, 52470
Terry, Roberson, 92, M, 3, L, whatend@somema1l.com, 0850459651, 3370126393, 1688, Lakewood, 5725
Doris, Snider, 61, F, 3, I, lguthrie@somema1l.org, 9761593174, 4107127317, 418, Traci, 61518
Cassandra, Lindsay, 79, M, 2, D, skidd76@ma1lbox.com, 7654837485, 3864774659, 790, Wayne, 58224
Levi, Harris, 69, F, 1, D, alwayscaptain@gma1l.biz, 3772584645, 0273614418, 1026, Monroe, 76611
Tia, Yang, 93, M, 3, I, sofawe@somema1l.org, 2227814067, 9563569212, 578, Vaughn, 71817
Jeannie, Humphrey, 73, F, 3, D, wrongit54@ma1l2u.net, 1499452835, 8029702249, 1201, Ferncliff, 56896
Billie, Hammond, 70, M, 2, I, ecollins@ma1lbox.net, 9688382591, 0484470382, 858, Mansfield, 33381
Steve, Obrien, 75, F, 2, L, dodays@ma1lbox.com, 1781104750, 8467933783, 981, Mary, 16780
Kayla, Thomas, 76, M, 3, L, scurtis@ma1lbox.com, 3976763756, 0865698801, 1411, Cooperwell, 84039
Charlotte, Stewart, 19, F, 2, I, mhancock@ma1l2u.co.uk, 8619624239, 6481944720, 1160, Gayla, 78035
Samuel, Gaines, 81, M, 1, R, treesend@gma1l.net, 0970056279, 2908616772, 1579, Kibler, 59399
Shawn, Frye, 67, F, 2, I, mruiz@gma1l.biz, 1310017345, 8823656328, 696, Galena, 89299
Rod, Henry, 36, M, 1, R, dosomething@somema1l.biz, 8676064207, 1489353372, 1520, Dawnlight, 38308
Seth, Moss, 80, F, 3, I, mrichmond@yah00.org, 9493802079, 0403005478, 1185, Airwood, 5855
Kaitlyn, Lara, 20, M, 3, D, hadsits@b1zmail.org, 2298966285, 2176446640, 1255, Crestway, 34617
Antonio, Bridges, 29, F, 3, L, arewords@everyma1l.com, 8055890224, 5504539097, 1580, Ridgefield, 26945
Wanda, Gross, 90, M, 3, I, or maybecaves@hotma1l.com, 2454621543, 2946060302, 658, Shaw, 55676
